Ramblers Frontier | Oort Cloud | 0.0.0.0:00000 | This is an offline map,,,,,,,,,
Type,Name,X,Y,Z,Size,Speed,VectorX,VectorY,VectorZ
Player,"PhoenixX",-104688.777124656,-163167.515598887,-135142.451547405,1.8,0,0,0,0
LargeShip,"Pitbull Bomber",19308.0507120786,14037.3931915078,32922.1429810869,5.916667,0,0,0,0
Station,"Platform 9182",26360,-15962.5,17285,79.16666,0,0,0,0
LargeShip,"Zann's Flagship",17237.5497355161,31197.9224883828,-22496.5972532881,158.3333,0,0,0,0
Station,"Blue Mining Relic",30,-25,25,100,0,0,0,0
LargeShip,"Platform 3031",26358.0072550474,-15958.8118866172,17261.8837037431,33.33333,0,0,0,0
Station,"Platform 4068",211752.5,330950,923565,41.66666,0,0,0,0
LargeShip,"Large Ship 4906",1018.00952157404,812.205111643314,22822.2707260622,12.5,0,0,0,0
Station,"Platform 6373",-2519157.5,-9585822.5,1384300,75,0,0,0,0
LargeShip,"Mining Barge",-135175.432398073,-165796.092161411,-123526.972055132,85.41667,6.311265,-6.268608,-0.6525354,0.3328985
Station,"Platform 8912",93402.5,56455,42080,77.08334,0,0,0,0
SmallShip,"'Tick' Ore Scow and 'Mite' Mining Drone",34666.3581543865,-21952.4062164817,41689.6525619997,27.08333,0,0,0,0
LargeShip,"Longsword Mk. 9S",-16064.7148378901,-63837.7026943508,-16580.8266470096,5.083333,0,0,0,0
LargeShip,"Armed Transport "Charon"",-125688.284977402,1097644.6312244,387503.317966807,7.083333,52.32746,-5.580231,48.99063,17.51977
Station,"Platform 993",1072.5,780,22972.5,16.66667,0,0,0,0
Station,"Platform 7693",27115,-3152.5,46180,52.08334,0,0,0,0
Station,"Platform 5432",30,-25,25,27.08333,0,0,0,0
SmallShip,"Small Ship 5727",40772.9799112974,8985.96203916407,53337.2660279619,35.41667,0,0,0,0
Station,"Platform 5583",17157.5,31192.5,-22570,18.75,0,0,0,0
SmallShip,"VCI - Grinder Attachment",-2519193.57027611,-9585820.98324495,1384320.15187198,3.333333,0,0,0,0
SmallShip,"VCI - Welder Attachment",-2519199.86617455,-9585818.09359651,1384322.29115421,3.333333,0,0,0,0
SmallShip,"VDI - Light Fighter",-2519128.63522229,-9585835.41336639,1384305.06632089,3.916667,0,0,0,0
SmallShip,"VDI - Heavy Fighter",-2519113.05270276,-9585842.10672576,1384310.30899667,4,0,0,0,0
Station,"Platform 1281",30,-25,25,10.41667,0,0,0,0
SmallShip,"Drilldron V Mk II",-2519172.12596321,-9585825.80343914,1384312.70099831,2.833333,0,0,0,0
LargeShip,"VCI - Crash Recovery Vessel",-2519225.37764916,-9585812.15560823,1384321.53675968,106.25,0,0,0,0
SmallShip,"RecBot",-2519163.84274182,-9585807.63309295,1384314.96280527,4.666667,0,0,0,0
Station,"Platform 6466",-3092.5,5670,21762.5,31.25,0,0,0,0
Station,"Platform 7762",30,-25,25,25,0,0,0,0
SmallShip,"Small Ship 4554",36048.1674112974,-24497.5384491172,35158.4242310869,2.25,0.5246688,0.0917919,-0.1784922,-0.4847598
LargeShip,"Large Ship 7910",-388623.970618642,106422.522647871,-988169.299733226,91.66667,24.96756,-9.045269,2.329654,-23.15459
Station,"Platform 7740",30,-25,25,12.5,0,0,0,0
LargeShip,"Large Ship 3183",-1444162.8066128,4793362.96295901,-5824419.72291235,56.25,0,0,0,0
Station,"Platform 851",30,-25,25,43.75,0,0,0,0
Station,"Platform 2242",30,-25,25,12.5,0,0,0,0
LargeShip,"Large Ship 9164",2365.06682535989,1823.03137510157,26029.0726685869,31.25,0.3978954,0.1365541,0.1967471,0.3177488
Station,"Platform 9378",30,-25,25,12.5,0,0,0,0
LargeShip,"Large Ship 841",916.110609194226,833.802008323495,22776.4921238125,10.41667,0,0,0,0
LargeShip,"Large Ship 6887",859.606276550607,907.261409549028,22797.7742799429,54.16666,0,0,0,0
Station,"Platform 6867",-3092.5,5670,21762.5,20.83333,0,0,0,0
LargeShip,"Large Ship 4272",-17029.3259212015,72539.2991568546,9464.49748730807,27.08333,3.76123,-0.8220145,3.635139,-0.5068618
Station,"Platform 4562",30,-25,25,14.58333,0,0,0,0
LargeShip,"Large Ship 3555",39795.8810349721,-53139.8137603993,19910.6510593593,131.25,0,0,0,0
LargeShip,"Large Ship 3555",-1444178.66520531,4793342.86840601,-5824426.65958361,100,0,0,0,0
LargeShip,"DSF3 Duchessa",257.335380047385,829.667605570317,-8903.5249876631,125,0.1438062,0.06454584,-0.02727441,0.1255793
SmallShip,"Small Ship 6467",6041.35137713313,-305.602048096509,10349.8091361995,2.416667,0,0,0,0
SmallShip,"Small Ship 6776",8249.07601760485,-1977.86038508687,91664.4637147702,1.25,1.918906,-1.184643,0.9015965,1.210762
Station,"Platform 2388",30,-25,25,14.58333,0,0,0,0
SmallShip,"red arrow",6893.77190348489,-1548.23327333593,-7429.4761595381,77.08334,0,0,0,0
LargeShip,"Arke Supply Ship",12881.0782999693,5836.77856748438,30543.0257935869,54.16666,0.9133288,0.01071872,0.7837033,0.4688962
LargeShip,"Large Ship 3555",-1626.78559565542,1007.9572284548,-10291.3893385119,102.0833,0,0,0,0
SmallShip,"Small Ship 5309",378869.383897549,285837.657899314,283139.312951724,1.083333,80.40496,54.82283,41.00932,42.16219
SmallShip,"Small Ship 7705",378868.129258877,285838.214051658,283139.918176333,1.083333,80.42782,54.83759,41.05128,42.14577
LargeShip,"Large Ship 3555",96421.9646359068,-100761.706565662,-23161.3948242059,135.4167,8.31233,3.457619,-7.457453,-1.235354
SmallShip,"Small Ship 9035",-93766.4148199476,-165261.777708286,-130955.496469195,1.666667,0,0,0,0
Station,"Platform 5723",6927.5,-1520,-7415,58.33334,0,0,0,0
SmallShip,"Small Ship 9784",11233.956144558,-10864.6560393837,100667.726898364,1,3.362548,-0.6771584,-0.950036,3.153667
LargeShip,"Large Ship 8190",-14129.4497762026,677.631716898442,15619.1700806963,125,0.2563074,-0.2402858,0.03690566,-0.08120474
SmallShip,"Small Ship 1593",54527.3666300474,-9735.40563661718,-8017.4507689131,3.166667,0,0,0,0
Station,"Platform 8972",30,-25,25,14.58333,0,0,0,0
SmallShip,"Small Ship 4872",378867.852403408,285833.96869033,283139.52633063,1.083333,80.41916,54.82281,41.01552,42.18326
SmallShip,"UNSC Vulture (Light) no mods",-296515.112420066,218333.745437092,-147100.894200933,6.5,91.68936,-67.14044,50.50517,-36.71959
Station,"Platform 8297",30,-25,25,12.5,0,0,0,0
Station,"Platform 9178",21876.25,2403.75,75121.25,197.9167,0,0,0,0
SmallShip,"Small Ship 9777",14176.236621865,-6385.69827850908,85505.6930851244,2.916667,0,0,0,0
SmallShip,"Small Ship 3843",15933.7018311024,-6514.39360162333,84799.7786302381,2.916667,0,0,0,0
LargeShip,"Large Ship 5287",61741.8454800675,98749.5360153048,21776.2221383831,22.91667,28.3834,13.3175,24.85782,3.217181
LargeShip,"Large Ship 8483",54422.9017862974,-9728.87829286718,-8070.6831907881,29.16667,0.04885196,0.04583371,0.0002585035,0.01690319
SmallShip,"Small Ship 3064",54516.2494425474,-9713.93883974218,-8080.6460814131,2.416667,0,0,0,0
SmallShip,"Small Ship 3714",-6391.63706149971,12527.9018008037,-13825.0601530876,2.666667,0,0,0,0
SmallShip,"(DL. Inc) Mining Drone Mk II",11023.0546183286,-12208.9251678672,-7657.7007689131,2.166667,1.175791,1.163545,-0.1589471,-0.0581599
LargeShip,"Commercial Salvager",-1097.06208089011,16444.9879180703,-27271.8472532881,77.08334,0,0,0,0
SmallShip,"Small Ship 8302",96459.0895138365,-100751.807884022,-23060.5189086786,1.166667,8.315478,3.460151,-7.461536,-1.224751
SmallShip,"Small Ship 3714",-7643.37165120261,10844.3565704141,-10634.9331907881,2.666667,0.2943693,-0.1109314,-0.1390839,0.2345276
LargeShip,"Large Ship 7910",-127850.982957589,-350955.511472522,-273605.822741762,79.16666,36.3597,-10.03602,-27.55505,-21.49477
LargShip,"Carrier [Infinity]",-658.455009279609,937.587912039678,-9922.35163973369,141.6667,0,0,0,0
LargeShip,"Large Ship 8677",56321.8783487974,-11070.7523163047,-7060.2788939131,31.25,0,0,0,0
LargeShip,"Large Ship 6188",-108673.773317356,164078.496028571,-91840.473980878,45.83334,27.81761,-14.21926,21.34518,-10.77105
SmallShip,"Small Ship 3601",378866.597764736,285834.524842673,283140.131311099,1.083333,80.44536,54.85226,41.03244,42.17847
LargeShip,"Dread Hulk Nefarious [A2-9604-p]",-102188.333834278,88620.7515327181,42839.4985901841,147.9167,10.8356,-7.79126,6.792488,3.250944
SmallShip,"Small Ship 1912",31492.1825198449,-50732.1495402894,159279.809729852,3.083333,12.12399,2.365869,-6.018791,10.25515
LargeShip,"DSF3 Duchessa",56316.0111612974,-11073.1429413047,-7067.4859251631,79.16666,0,0,0,0
SmallShip,"SF-45",378871.283799892,285834.861512595,283142.104211489,3.75,80.43982,54.86366,41.02811,42.15729
Station,"Platform 7362",30,-25,25,12.5,0,0,0,0
LargeShip,"Arke Supply Ship",-5240.10016682761,10549.0811797891,-30557.2300657881,181.25,5.504931,-4.921535,1.656799,-1.826956
LargeShip,"GM/2-411 Combat Destroyer",14664.2948896752,-7980.63772883687,85578.7181093015,245.8333,0,0,0,0
Station,"Platform 6599",30,-25,25,47.91666,0,0,0,0
LargeShip,"Large Ship 1500",-692.568916827615,979.455935648442,-9909.0210814131,29.16667,0,0,0,0
SmallShip,"Small Ship 8811",-313254.284905418,208890.634841389,-161861.753820074,1.166667,94.47943,-70.74387,48.32774,-39.82584
LargeShip,"UNSC Vulture (Light) no mods",-313248.929436668,208901.457839436,-161853.370031011,6.5,94.62667,-70.84601,48.35071,-39.96571
LargeShip,"Dread Hulk Nefarious [A2-9604-p]",4945.37866219904,-13424.8866852317,-13971.3786880003,160.4167,0,0,0,0
LargeShip,"Large Ship 1473",54437.0814737974,-9719.68493349218,-8081.3843626631,29.16667,0.04858048,-0.01016208,-0.007922584,0.04684044
SmallShip,"Buzzard",5700.91741129739,-33.6683319296826,-24036.2652220381,5.833333,31.72393,-8.651325,-8.613316,-29.28093
LargeShip,"Explorer",-28272.2863768635,-18557.5898102317,-3099.87575831275,147.9167,0,0,0,0
LargeShip,"Large Ship 6812",-87949.2881953378,98262.545753981,89459.5361277201,8.333333,39.79699,-23.71732,24.91648,20.01144
SmallShip,"Small Ship 9917",19078.8338412378,-49629.0312433379,79293.6161603463,2.25,6.174051,0.6939328,-6.078707,-0.8286657
LargeShip,"Large Ship 2612",-11268.0630248856,186.000514918804,16561.730756864,37.5,0,0,0,0
Station,"Platform 1005",55905.173160515,-11120.4261078032,-6924.27224030624,122.9167,0,0,0,0
Station,"Platform 6855",10,850,-9762.5,41.66666,0,0,0,0
