Test Sector | Star System | 0.0.0.0:00000 | This is an offline map,,,,,,,,,
Type,Name,X,Y,Z,Size,Speed,VectorX,VectorY,VectorZ
Player,"Captain X (PhoenixX)",13413.5986450276,143967.262220974,-108886.515133405,1.8,0,0,0,0
Station,"Monolith",1036328.9375,118785.4453125,1695105.875,12.5,0,0,0,0
Station,"Platform 9870",15673.7958984375,127220.421875,-111785.890625,12.5,0,0,0,0
Station,"Ore Detection Station mk.1",12429.603515625,142903,-108128.0546875,27.08333,0,0,0,0
SmallShip,"Drill Ship Moon mk.1",13427.4448636301,143925.516646558,-108810.675604492,3.083333,0,0,0,0
Station,"Pirate Planetary Base Small mk.1_9",15795.408203125,145627.84375,-111714.578125,141.6667,0,0,0,0
Station,"MoonEasyStation",13364.2919921875,143959.53125,-108908.203125,354.1667,0,0,0,0
Station,"Pirate Base Medium mk.1",-59972.98828125,1261.14636230469,-1293.4931640625,179.1667,0,0,0,0
Station,"Pirate Base Medium mk.1",-59972.98828125,1261.14636230469,-1293.4931640625,179.1667,0,0,0,0
Station,"Pirate Base Medium mk.1",12381.3369140625,2245.27954101563,-59021.0625,179.1667,0,0,0,0
Station,"Pirate Base Medium mk.1",1031145.6875,67770.375,1630669.625,179.1667,0,0,0,0
Station,"Pirate Base Medium mk.1",-137.453704833984,970.64404296875,60026.34765625,179.1667,0,0,0,0
Station,"Pirate Base Medium mk.1",7098.357421875,61004.92578125,-611.42333984375,179.1667,0,0,0,0
Station,"Pirate Base Medium mk.1",1025543.9375,131393.65625,1569327.875,179.1667,0,0,0,0
Station,"Pirate Base Medium mk.1",970243.0625,135463.03125,1631109.375,179.1667,0,0,0,0
Station,"Pirate Base Large mk.2",61078.85546875,304.480499267578,76.6488494873047,558.3333,0,0,0,0
Station,"Pirate Base Medium mk.1",1026707.125,134661.34375,1692154.875,179.1667,0,0,0,0
Station,"Pirate Base Medium mk.1",1094121.875,131257.3125,1631178.375,179.1667,0,0,0,0
Station,"Pirate Base Medium mk.1",71084.3203125,131208.578125,5729608,179.1667,0,0,0,0
Station,"Pirate Base Medium mk.1",132151.171875,131418.515625,5670847.5,179.1667,0,0,0,0
Station,"Pirate Base Large mk.2",1031909.5,192814.1875,1630722.625,558.3333,0,0,0,0
Station,"Pirate Base Medium mk.1",192159.484375,131102.234375,5729852.5,179.1667,0,0,0,0
Station,"Pirate Base Medium mk.1",130400.0703125,70105.5390625,5723990,179.1667,0,0,0,0
Station,"Pirate Base Medium mk.1",129157.015625,131310.75,5791058.5,179.1667,0,0,0,0
SmallShip,"Moon Deterrent",13394.7012112863,143955.761275464,-108877.942206055,4.5,0,0,0,0
SmallShip,"Manipulator Buddy mk.3_5 - Tug Ship",13418.7295315988,143992.883345777,-108921.781317383,1.916667,0,0,0,0
Station,"Pirate Base Large mk.2",127397.9765625,192596.21875,5732854.5,558.3333,0,0,0,0
SmallShip,"Tusk mk.1",13623.6064847238,144317.510787183,-109341.990545899,2.75,0,0,0,0
SmallShip,"Tusk mk.1",14086.1642582831,144740.712980494,-109699.068817646,3.666667,0,0,0,0
SmallShip,"Small Grid 7442",13631.3291409738,144322.264693433,-109341.032049805,1.916667,0,0,0,0
SmallShip,"Tusk mk.1",13913.0600980051,144535.089888745,-109479.481268555,4.083333,14.99214,-8.180248,-7.80125,9.84827
SmallShip,"Small Grid 4131",13618.5620511301,144319.248580152,-109339.189520508,1.5,0,0,0,0
LargeShip,"Large Ship 1473",27146.1377347238,146211.486861402,-116909.259588867,29.16667,10.05683,6.020201,-8.037247,-0.5473859
SmallShip,"Small Grid 2074",13614.8769925363,144329.328169995,-109349.370428711,1,0,0,0,0
LargeShip,"Large Ship 8483",27138.2803128488,146204.691939527,-116892.168768555,29.16667,9.994384,5.898968,-8.047329,-0.5747845
SmallShip,"Small Grid 5745",13804.5225003488,144358.199752027,-109328.137274414,1.083333,0,0,0,0
LargeShip,"Large Ship 2475",27145.2812894113,146207.047408277,-116908.492499024,160.4167,9.988492,5.941364,-8.009941,-0.5576794
SmallShip,"Tusk mk.1",15800.1692288644,145653.356978589,-111638.77619043,4.083333,1.231385,-1.213378,-0.1620765,-0.133247
Planet,"Moon-1246841761d19000-0",16384.5,136384.5,-113615.5,19000,0,0,0,0
Planet,"EarthLike-567158388d120000-0",0.5,0.5,0.5,120000,0,0,0,0
Planet,"Alien-1440893259d120000",131072.5,131072.5,5731072.5,120000,0,0,0,0
Planet,"Titan-159481429d19000",36384.5,226384.5,5796384.5,19000,0,0,0,0
Planet,"Mars-745800193d120000",1031072.5,131072.5,1631072.5,120000,0,0,0,0
Planet,"Europa-1917688329d19000",916384.5,16384.5,1616384.5,19000,0,0,0,0
