Ramblers Frontier | Remote Outpost | 0.0.0.0:00000 | This is an offline map,,,,,,,,,
Type,Name,X,Y,Z,Size,Speed,VectorX,VectorY,VectorZ
Player,"PhoenixX",31.976422964189,-10.4873964122732,534.888473673513,1.8,0,0,0,0
LargeShip,"Large Ship 6950",10121.0557681877,934.587783381314,961.888920314261,139.5833,0,0,0,0
SmallShip,"Small Ship 5546",9195.46935317565,492.528448037004,434.397143049861,2.5,0,0,0,0
SmallShip,"Small Ship 485",118.161236937694,97.3377833813138,475.164219386526,1.75,0,0,0,0
SmallShip,"Small Ship 565",-351272.467566153,691609.926152739,-1606959.46358433,3.25,11.04729,-2.274788,4.332833,-9.904273
LargeShip,"Large Ship 484",10154.2354556877,837.660049006314,934.214085109183,97.91667,0,0,0,0
SmallShip,"Small Ship 4293",1534913.92893468,-797565.38708984,-618912.122245768,1.5,11.79768,9.795967,-5.389009,-3.766026
SmallShip,"Small Ship 8276",115.777458644403,-18.955076285506,526.385576887752,1.583333,0,0,0,0
SmallShip,"Small Ship 8106",111057.711660945,73789.2202598883,-122261.631555435,1.583333,0.7126316,-0.4904397,0.2357146,0.4601644
LargeShip,"Large Ship 7603",103.563591456903,-9.90832335581854,528.469637556697,193.75,0,0,0,0
SmallShip,"Small Ship 6738",267793.51219158,-257224.57679112,1530093.73160537,1.583333,10.01225,1.535013,-1.41993,9.791458
Station,"Platform 2011",195,5,470,445.8333,0,0,0,0
SmallShip,"Small Ship 4434",200.100403988772,-16.3461389913609,392.401615278854,0.75,0,0,0,0
SmallShip,"Small Ship 1545",186.877747738772,55.8452672586391,505.020939009322,0.25,0,0,0,0
SmallShip,"Small Ship 7209",16487.0618460149,-34035.5907727646,31949.3831817254,1.5,0.3601769,0.1084481,-0.2618811,0.2222266
SmallShip,"Small Ship 1479",-329764.289619443,689837.521192297,-1598246.40572432,1.166667,10.99123,-2.098414,4.359174,-9.869211
SmallShip,"Small Ship 2582",-1270643.43586116,3295134.72546184,-70982.065173515,1.833333,48.84809,-17.03593,45.77219,-0.9058716
SmallShip,"Small Ship 7956",148.706158812694,9.86903338131378,477.587131984183,5.833333,0,0,0,0
SmallShip,"Small Ship 8056",-334780.64812274,-272110.391238369,-272196.699501325,1.083333,3.226891,-2.261306,-1.61637,-1.639106
SmallShip,"Small Ship 8289",77076.3442729762,-511479.15773014,150588.27328401,1.583333,8.421449,1.224909,-8.002707,2.318853
SmallShip,"Small Ship 4665",177.739075863772,13.9272985086391,480.63898100151,2.166667,0,0,0,0
SmallShip,"Small Ship 2817",191651.662907425,23670.5194080746,-67986.7630733489,1.083333,1.263315,1.187569,0.1521477,-0.4031075
LargeShip,"Large Ship 1880",105.243767238153,-15.0164776526935,531.050310774471,16.66667,0.01806716,-0.01424688,0.007635646,-0.008071282
SmallShip,"Small Ship 2799",316712.28075285,-2012747.57132994,1414286.5190335,2,43.16156,5.45808,-35.08485,24.5394
SmallShip,"Small Ship 817",-40058.1867411562,-3298.50710667557,79871.1717182384,1.25,0.7391587,-0.3351338,-0.02664331,0.6582789
LargeShip,"Large Ship 8166",10110.3621227388,-284.605904616361,1370.20624937309,64.58334,0,0,0,0
