Ramblers Frontier C | Mars Sector | 0.0.0.0:27015 | Ramblers Frontier - Mars Sector.
Corporate HQ of the Frontier Trade Network,,,,,,,,,
Type,Name,X,Y,Z,Size,Speed,VectorX,VectorY,VectorZ
LargeShip,"Large Grid 4320",1039994.58767304,118096.097858017,1695586.92458525,12.5,1.128954E-05,-3.813766E-07,-6.654533E-06,9.111827E-06
LargeShip,"Large Grid 9015",1039995.6317115,118100.278474981,1695587.62818561,16.66667,0.0001794816,0.0001182416,0.0001212647,-5.93923E-05
Station,"Static Grid 9718",1039602.712463,117891.94173824,1695529.67138689,12.5,0,0,0,0
LargeShip,"Large Grid 7847",1040000.04430916,118097.484773809,1695586.42994343,8.333333,0.0021681,0.002167476,1.633912E-05,-4.938245E-05
LargeShip,"Large Grid 2966",1039986.45519783,118097.296541387,1695588.32056843,14.58333,0.0141309,-0.01228278,-0.001268864,-0.006870624
LargeShip,"Large Grid 7114",1039994.17211677,118092.345125372,1695586.21802936,14.58333,0.001855062,-0.0008000787,0.001658332,0.0002259798
LargeShip,"Large Grid 5371",1040001.9643531,118100.544344122,1695586.78248249,16.66667,0.007746239,0.005612321,0.004185706,-0.003314503
Station,"Static Grid 6070",1040116.07361795,117567.335459886,1695394.92839787,6.25,0,0,0,0
SmallShip,"Small Grid 8850",1039441.30517342,117466.476473028,1695707.34302936,0.8333333,0.001074298,0.0008696076,0.0004369766,-0.0004549176
LargeShip,"Large Grid 9922",1040257.89504609,118064.025592392,1695454.44216337,10.41667,0,0,0,0
Station,"Static Grid 1110",1039880.93508528,117847.871523611,1695284.30175638,10.41667,0,0,0,0
LargeShip,"Large Grid 5645",1040075.94213631,117381.244539434,1695529.05103718,10.41667,0.05966687,-0.008327596,-0.01863175,0.05606821
SmallShip,"Small Grid 6893",1039440.31396248,117466.548738653,1695707.49537311,0.6666667,0.003220657,0.002679052,-0.001452648,0.001041693
LargeShip,"Large Grid 6932",1040143.93386444,117920.599811142,1695452.69997587,6.25,4.132109E-05,-1.218193E-05,-4.926231E-06,3.917608E-05
LargeShip,"Large Grid 8026",1040144.72243866,117923.398395127,1695453.15896025,6.25,8.312499E-06,-6.245973E-07,1.83977E-06,8.08225E-06
LargeShip,"Large Grid 8058",1040144.31838593,117941.021930283,1695456.80544462,6.25,3.412948E-05,1.173373E-05,1.73389E-06,3.200211E-05
Station,"Static Grid 4603",1040211.37948859,117904.422747892,1695473.2864865,6.25,0,0,0,0
